"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2023-02-02","15:55:14","Красноярск, стандартное время","Code 128","P8829219","","0","2023-02-02","08:55:14",""
"2023-02-02","15:55:16","Красноярск, стандартное время","Code 128","P8829218","","0","2023-02-02","08:55:16",""
"2023-02-02","15:55:18","Красноярск, стандартное время","Code 128","P8829214","","0","2023-02-02","08:55:18",""
"2023-02-02","15:55:21","Красноярск, стандартное время","Code 128","P8829216","","0","2023-02-02","08:55:21",""
"2023-02-02","15:55:23","Красноярск, стандартное время","Code 128","P8829213","","0","2023-02-02","08:55:23",""
"2023-02-02","15:55:25","Красноярск, стандартное время","Code 128","P8829217","","0","2023-02-02","08:55:25",""
"2023-02-02","15:55:28","Красноярск, стандартное время","Code 128","P8829215","","0","2023-02-02","08:55:28",""
"2023-02-02","15:55:39","Красноярск, стандартное время","Code 128","P8829212","","0","2023-02-02","08:55:39",""
"2023-02-02","15:55:41","Красноярск, стандартное время","Code 128","P8829211","","0","2023-02-02","08:55:41",""
"2023-02-02","15:55:44","Красноярск, стандартное время","Code 128","P8829209","","0","2023-02-02","08:55:44",""
"2023-02-02","15:55:52","Красноярск, стандартное время","Code 128","P8829210","","0","2023-02-02","08:55:52",""
"2023-02-02","15:55:56","Красноярск, стандартное время","Code 128","P8828376","","0","2023-02-02","08:55:56",""
"2023-02-02","15:56:01","Красноярск, стандартное время","Code 128","P8828371","","0","2023-02-02","08:56:01",""
"2023-02-02","15:56:06","Красноярск, стандартное время","Code 128","P8828123","","0","2023-02-02","08:56:06",""
"2023-02-02","15:56:10","Красноярск, стандартное время","Code 128","P8828375","","0","2023-02-02","08:56:10",""
"2023-02-02","15:56:17","Красноярск, стандартное время","Code 128","P8804984","","0","2023-02-02","08:56:17",""
"2023-02-02","15:56:20","Красноярск, стандартное время","Code 128","P8804979","","0","2023-02-02","08:56:20",""
"2023-02-02","15:56:23","Красноярск, стандартное время","Code 128","P8804931","","0","2023-02-02","08:56:23",""
"2023-02-02","15:56:26","Красноярск, стандартное время","Code 128","P8805031","","0","2023-02-02","08:56:26",""
